V1	V2	V3	V4	V5	V6
H1_Rhizo_Litter_3_32054_2	H1_Rhizo_Litter_3_32054_2	K02881	136	501	1
H1_Rhizo_Litter_3_3255_2	H1_Rhizo_Litter_3_3255_2	K02982	138	812	-1
H1_Rhizo_Litter_3_32569_1	H1_Rhizo_Litter_3_32569_1	K02874	3	386	1
H1_Rhizo_Litter_3_32850_1	H1_Rhizo_Litter_3_32850_1	K02876	1	390	-1
H1_Rhizo_Litter_3_32851_3	H1_Rhizo_Litter_3_32851_3	K02961	748	1017	1
H1_Rhizo_Litter_3_3309_3	H1_Rhizo_Litter_3_3309_3	K00480	1179	2381	-1
H1_Rhizo_Litter_3_33103_1	H1_Rhizo_Litter_3_33103_1	K02890	28	480	1
H1_Rhizo_Litter_3_33103_2	H1_Rhizo_Litter_3_33103_2	K02982	500	1033	1
H1_Rhizo_Litter_3_33383_2	H1_Rhizo_Litter_3_33383_2	K02931	119	709	-1
H1_Rhizo_Litter_3_33383_3	H1_Rhizo_Litter_3_33383_3	K02895	702	1019	-1
H1_Rhizo_Litter_3_33541_2	H1_Rhizo_Litter_3_33541_2	K02890	222	611	1
H1_Rhizo_Litter_3_33541_3	H1_Rhizo_Litter_3_33541_3	K02982	611	1030	1
H1_Rhizo_Litter_3_33556_2	H1_Rhizo_Litter_3_33556_2	K02874	117	488	-1
H1_Rhizo_Litter_3_33556_3	H1_Rhizo_Litter_3_33556_3	K02961	504	758	-1
H1_Rhizo_Litter_3_33576_1	H1_Rhizo_Litter_3_33576_1	K02933	2	256	1
H1_Rhizo_Litter_3_33601_1	H1_Rhizo_Litter_3_33601_1	K02874	104	616	1
H1_Rhizo_Litter_3_33874_2	H1_Rhizo_Litter_3_33874_2	K02895	527	859	1
H1_Rhizo_Litter_3_3394_2	H1_Rhizo_Litter_3_3394_2	K02881	331	693	-1
H1_Rhizo_Litter_3_3394_3	H1_Rhizo_Litter_3_3394_3	K02933	761	1315	-1
H1_Rhizo_Litter_3_34061_2	H1_Rhizo_Litter_3_34061_2	K02931	346	885	-1
H1_Rhizo_Litter_3_341_4	H1_Rhizo_Litter_3_341_4	K00362	2204	3409	-1
H1_Rhizo_Litter_3_34257_3	H1_Rhizo_Litter_3_34257_3	K02906	442	864	1
H1_Rhizo_Litter_3_34278_2	H1_Rhizo_Litter_3_34278_2	K02933	419	952	-1
H1_Rhizo_Litter_3_34298_1	H1_Rhizo_Litter_3_34298_1	K02994	3	260	1
H1_Rhizo_Litter_3_34298_2	H1_Rhizo_Litter_3_34298_2	K02933	274	807	1
H1_Rhizo_Litter_3_34298_3	H1_Rhizo_Litter_3_34298_3	K02881	819	1019	1
H1_Rhizo_Litter_3_34496_1	H1_Rhizo_Litter_3_34496_1	K02881	1	480	1
H1_Rhizo_Litter_3_34507_1	H1_Rhizo_Litter_3_34507_1	K02926	60	692	1
H1_Rhizo_Litter_3_34720_1	H1_Rhizo_Litter_3_34720_1	K02982	1	438	-1
H1_Rhizo_Litter_3_34720_2	H1_Rhizo_Litter_3_34720_2	K02890	439	780	-1
H1_Rhizo_Litter_3_34720_3	H1_Rhizo_Litter_3_34720_3	K02965	783	1016	-1
H1_Rhizo_Litter_3_34782_3	H1_Rhizo_Litter_3_34782_3	K02886	539	1015	1
H1_Rhizo_Litter_3_34983_2	H1_Rhizo_Litter_3_34983_2	K02906	64	681	-1
H1_Rhizo_Litter_3_34983_3	H1_Rhizo_Litter_3_34983_3	K02946	683	1012	-1
H1_Rhizo_Litter_3_350_12	H1_Rhizo_Litter_3_350_12	K02890	5020	5322	-1
H1_Rhizo_Litter_3_350_15	H1_Rhizo_Litter_3_350_15	K02926	6393	6776	-1
H1_Rhizo_Litter_3_350_17	H1_Rhizo_Litter_3_350_17	K02946	7642	7959	-1
H1_Rhizo_Litter_3_350_2	H1_Rhizo_Litter_3_350_2	K02933	482	1123	-1
H1_Rhizo_Litter_3_35031_1	H1_Rhizo_Litter_3_35031_1	K02926	3	626	1
H1_Rhizo_Litter_3_3503_2	H1_Rhizo_Litter_3_3503_2	K02876	262	747	-1
H1_Rhizo_Litter_3_35077_1	H1_Rhizo_Litter_3_35077_1	K02933	1	576	1
H1_Rhizo_Litter_3_35122_2	H1_Rhizo_Litter_3_35122_2	K02965	163	441	1
H1_Rhizo_Litter_3_35122_3	H1_Rhizo_Litter_3_35122_3	K02890	457	852	1
H1_Rhizo_Litter_3_35239_1	H1_Rhizo_Litter_3_35239_1	K02906	1	447	-1
H1_Rhizo_Litter_3_35239_2	H1_Rhizo_Litter_3_35239_2	K02946	684	1010	-1
H1_Rhizo_Litter_3_35295_1	H1_Rhizo_Litter_3_35295_1	K00260	3	1010	1
H1_Rhizo_Litter_3_35322_2	H1_Rhizo_Litter_3_35322_2	K02881	242	604	-1
H1_Rhizo_Litter_3_35322_3	H1_Rhizo_Litter_3_35322_3	K02933	617	1009	-1
H1_Rhizo_Litter_3_354_10	H1_Rhizo_Litter_3_354_10	K02961	4550	4822	1
H1_Rhizo_Litter_3_35605_1	H1_Rhizo_Litter_3_35605_1	K02876	3	1004	1
H1_Rhizo_Litter_3_35741_1	H1_Rhizo_Litter_3_35741_1	K02890	10	363	-1
H1_Rhizo_Litter_3_35741_2	H1_Rhizo_Litter_3_35741_2	K02965	366	647	-1
H1_Rhizo_Litter_3_3576_2	H1_Rhizo_Litter_3_3576_2	K02946	346	654	1
H1_Rhizo_Litter_3_3576_3	H1_Rhizo_Litter_3_3576_3	K02906	666	1400	1
H1_Rhizo_Litter_3_35803_1	H1_Rhizo_Litter_3_35803_1	K03553	239	1003	1
H1_Rhizo_Litter_3_3582_1	H1_Rhizo_Litter_3_3582_1	K02994	3	368	1
H1_Rhizo_Litter_3_3582_2	H1_Rhizo_Litter_3_3582_2	K02933	393	926	1
H1_Rhizo_Litter_3_3582_3	H1_Rhizo_Litter_3_3582_3	K02881	938	1303	1
H1_Rhizo_Litter_3_35923_1	H1_Rhizo_Litter_3_35923_1	K02874	245	757	1
H1_Rhizo_Litter_3_3598_3	H1_Rhizo_Litter_3_3598_3	K02881	651	1007	-1
H1_Rhizo_Litter_3_3598_4	H1_Rhizo_Litter_3_3598_4	K02933	1017	1550	-1
H1_Rhizo_Litter_3_3598_5	H1_Rhizo_Litter_3_3598_5	K02994	1561	1959	-1
H1_Rhizo_Litter_3_36061_1	H1_Rhizo_Litter_3_36061_1	K02961	20	289	-1
H1_Rhizo_Litter_3_37706_1	H1_Rhizo_Litter_3_37706_1	K02926	19	639	1
H1_Rhizo_Litter_3_3794_1	H1_Rhizo_Litter_3_3794_1	K05916	2	922	1
H1_Rhizo_Litter_3_3812_3	H1_Rhizo_Litter_3_3812_3	K02931	788	1345	1
H1_Rhizo_Litter_3_3812_5	H1_Rhizo_Litter_3_3812_5	K02994	1712	2110	1
H1_Rhizo_Litter_3_3924_2	H1_Rhizo_Litter_3_3924_2	K02982	157	909	1
H1_Rhizo_Litter_3_3946_3	H1_Rhizo_Litter_3_3946_3	K02906	614	1252	1
H1_Rhizo_Litter_3_3946_4	H1_Rhizo_Litter_3_3946_4	K02926	1274	1909	1
H1_Rhizo_Litter_3_4069_1	H1_Rhizo_Litter_3_4069_1	K02961	131	388	1
H1_Rhizo_Litter_3_4069_2	H1_Rhizo_Litter_3_4069_2	K02874	422	790	1
H1_Rhizo_Litter_3_4069_3	H1_Rhizo_Litter_3_4069_3	K02895	790	1110	1
H1_Rhizo_Litter_3_4069_4	H1_Rhizo_Litter_3_4069_4	K02931	1128	1673	1
H1_Rhizo_Litter_3_4069_6	H1_Rhizo_Litter_3_4069_6	K02994	1883	2218	1
H1_Rhizo_Litter_3_4194_2	H1_Rhizo_Litter_3_4194_2	K02876	848	1339	-1
H1_Rhizo_Litter_3_4198_1	H1_Rhizo_Litter_3_4198_1	K02886	1	783	1
H1_Rhizo_Litter_3_4198_3	H1_Rhizo_Litter_3_4198_3	K02890	1073	1540	1
H1_Rhizo_Litter_3_4198_4	H1_Rhizo_Litter_3_4198_4	K02982	1543	2196	1
H1_Rhizo_Litter_3_4303_1	H1_Rhizo_Litter_3_4303_1	K02931	8	550	-1
H1_Rhizo_Litter_3_4303_4	H1_Rhizo_Litter_3_4303_4	K02961	1285	1542	-1
H1_Rhizo_Litter_3_4430_1	H1_Rhizo_Litter_3_4430_1	K15371	2	2158	1
H1_Rhizo_Litter_3_449_2	H1_Rhizo_Litter_3_449_2	K02876	1540	1989	-1
H1_Rhizo_Litter_3_449_6	H1_Rhizo_Litter_3_449_6	K02933	3397	3951	-1
H1_Rhizo_Litter_3_449_7	H1_Rhizo_Litter_3_449_7	K02994	4070	4468	-1
H1_Rhizo_Litter_3_4586_1	H1_Rhizo_Litter_3_4586_1	K02982	2	676	1
H1_Rhizo_Litter_3_4586_4	H1_Rhizo_Litter_3_4586_4	K02961	1341	1577	1
H1_Rhizo_Litter_3_4624_3	H1_Rhizo_Litter_3_4624_3	K02931	821	1396	1
H1_Rhizo_Litter_3_46378_2	H1_Rhizo_Litter_3_46378_2	K02931	59	646	-1
H1_Rhizo_Litter_3_468_2	H1_Rhizo_Litter_3_468_2	K02933	143	733	-1
H1_Rhizo_Litter_3_4735_1	H1_Rhizo_Litter_3_4735_1	K00363	12	722	-1
H1_Rhizo_Litter_3_4735_2	H1_Rhizo_Litter_3_4735_2	K00362	725	2110	-1
H1_Rhizo_Litter_3_4835_3	H1_Rhizo_Litter_3_4835_3	K02961	418	675	1
H1_Rhizo_Litter_3_4835_4	H1_Rhizo_Litter_3_4835_4	K02874	691	1059	1
H1_Rhizo_Litter_3_4912_3	H1_Rhizo_Litter_3_4912_3	K02931	719	1312	1
H1_Rhizo_Litter_3_5100_3	H1_Rhizo_Litter_3_5100_3	K02926	746	1375	-1
H1_Rhizo_Litter_3_5119_2	H1_Rhizo_Litter_3_5119_2	K02994	239	625	1
H1_Rhizo_Litter_3_5119_3	H1_Rhizo_Litter_3_5119_3	K02933	632	1168	1
H1_Rhizo_Litter_3_5119_4	H1_Rhizo_Litter_3_5119_4	K02881	1318	1593	1
H1_Rhizo_Litter_3_51802_2	H1_Rhizo_Litter_3_51802_2	K02965	113	385	1
H1_Rhizo_Litter_3_51802_3	H1_Rhizo_Litter_3_51802_3	K02890	398	739	1
H1_Rhizo_Litter_3_521_4	H1_Rhizo_Litter_3_521_4	K02906	3571	4338	1
H1_Rhizo_Litter_3_5417_1	H1_Rhizo_Litter_3_5417_1	K02982	85	915	-1
H1_Rhizo_Litter_3_5450_2	H1_Rhizo_Litter_3_5450_2	K02946	268	582	-1
H1_Rhizo_Litter_3_54663_2	H1_Rhizo_Litter_3_54663_2	K02931	352	966	1
H1_Rhizo_Litter_3_54663_3	H1_Rhizo_Litter_3_54663_3	K02994	963	1355	1
H1_Rhizo_Litter_3_5570_1	H1_Rhizo_Litter_3_5570_1	K02933	52	585	-1
H1_Rhizo_Litter_3_5570_2	H1_Rhizo_Litter_3_5570_2	K02994	655	1053	-1
H1_Rhizo_Litter_3_5637_2	H1_Rhizo_Litter_3_5637_2	K02961	244	510	1
H1_Rhizo_Litter_3_5637_3	H1_Rhizo_Litter_3_5637_3	K02874	672	1040	1
H1_Rhizo_Litter_3_5637_4	H1_Rhizo_Litter_3_5637_4	K02895	1051	1368	1
H1_Rhizo_Litter_3_5637_5	H1_Rhizo_Litter_3_5637_5	K02931	1378	1917	1
H1_Rhizo_Litter_3_5647_1	H1_Rhizo_Litter_3_5647_1	K02931	67	606	-1
H1_Rhizo_Litter_3_5647_2	H1_Rhizo_Litter_3_5647_2	K02895	616	933	-1
H1_Rhizo_Litter_3_5647_3	H1_Rhizo_Litter_3_5647_3	K02874	944	1312	-1
H1_Rhizo_Litter_3_5647_4	H1_Rhizo_Litter_3_5647_4	K02961	1473	1739	-1
H1_Rhizo_Litter_3_5703_3	H1_Rhizo_Litter_3_5703_3	K02906	899	1516	-1
H1_Rhizo_Litter_3_5742_2	H1_Rhizo_Litter_3_5742_2	K00362	265	1716	-1
H1_Rhizo_Litter_3_5764_3	H1_Rhizo_Litter_3_5764_3	K02886	770	1606	1
H1_Rhizo_Litter_3_5764_4	H1_Rhizo_Litter_3_5764_4	K02965	1619	1900	1
H1_Rhizo_Litter_3_582_9	H1_Rhizo_Litter_3_582_9	K02961	3612	3878	1
H1_Rhizo_Litter_3_585_2	H1_Rhizo_Litter_3_585_2	K02982	215	841	-1
H1_Rhizo_Litter_3_585_3	H1_Rhizo_Litter_3_585_3	K02890	857	1189	-1
H1_Rhizo_Litter_3_585_4	H1_Rhizo_Litter_3_585_4	K02965	1199	1474	-1
H1_Rhizo_Litter_3_585_5	H1_Rhizo_Litter_3_585_5	K02886	1487	2311	-1
H1_Rhizo_Litter_3_585_7	H1_Rhizo_Litter_3_585_7	K02926	2618	3238	-1
H1_Rhizo_Litter_3_585_8	H1_Rhizo_Litter_3_585_8	K02906	3253	3903	-1
H1_Rhizo_Litter_3_5919_4	H1_Rhizo_Litter_3_5919_4	K02881	984	1361	-1
H1_Rhizo_Litter_3_5919_5	H1_Rhizo_Litter_3_5919_5	K02933	1374	1907	-1
H1_Rhizo_Litter_3_5929_2	H1_Rhizo_Litter_3_5929_2	K02931	284	802	1
H1_Rhizo_Litter_3_5938_2	H1_Rhizo_Litter_3_5938_2	norC_alignment	1303	1755	-1
H1_Rhizo_Litter_3_5992_1	H1_Rhizo_Litter_3_5992_1	K02982	1183	1935	-1
H1_Rhizo_Litter_3_5992_4	H1_Rhizo_Litter_3_5992_4	K02886	2920	3381	-1
H1_Rhizo_Litter_3_603_1	H1_Rhizo_Litter_3_603_1	K02895	46	348	-1
H1_Rhizo_Litter_3_6103_1	H1_Rhizo_Litter_3_6103_1	norC_alignment	18	1928	-1
H1_Rhizo_Litter_3_6138_2	H1_Rhizo_Litter_3_6138_2	K02876	907	1377	-1
H1_Rhizo_Litter_3_6188_5	H1_Rhizo_Litter_3_6188_5	K02994	1608	1916	1
H1_Rhizo_Litter_3_6333_1	H1_Rhizo_Litter_3_6333_1	K02982	3	560	-1
H1_Rhizo_Litter_3_6333_2	H1_Rhizo_Litter_3_6333_2	K02890	564	914	-1
H1_Rhizo_Litter_3_6333_3	H1_Rhizo_Litter_3_6333_3	K02965	1063	1368	-1
H1_Rhizo_Litter_3_6333_4	H1_Rhizo_Litter_3_6333_4	K02886	1383	1904	-1
H1_Rhizo_Litter_3_6450_1	H1_Rhizo_Litter_3_6450_1	K02906	1	531	-1
H1_Rhizo_Litter_3_6493_2	H1_Rhizo_Litter_3_6493_2	K02965	200	478	1
H1_Rhizo_Litter_3_6493_3	H1_Rhizo_Litter_3_6493_3	K02890	481	867	1
H1_Rhizo_Litter_3_6493_4	H1_Rhizo_Litter_3_6493_4	K02982	872	1555	1
H1_Rhizo_Litter_3_6496_2	H1_Rhizo_Litter_3_6496_2	K02946	322	633	-1
H1_Rhizo_Litter_3_6756_1	H1_Rhizo_Litter_3_6756_1	K02931	2	319	-1
H1_Rhizo_Litter_3_6756_3	H1_Rhizo_Litter_3_6756_3	K02895	472	834	-1
H1_Rhizo_Litter_3_6756_4	H1_Rhizo_Litter_3_6756_4	K02874	845	1207	-1
H1_Rhizo_Litter_3_6756_5	H1_Rhizo_Litter_3_6756_5	K02961	1214	1465	-1
H1_Rhizo_Litter_3_680_1	H1_Rhizo_Litter_3_680_1	K02931	1	504	1
H1_Rhizo_Litter_3_706_8	H1_Rhizo_Litter_3_706_8	K02933	3928	4401	-1
H1_Rhizo_Litter_3_7077_4	H1_Rhizo_Litter_3_7077_4	K02933	1135	1671	1
H1_Rhizo_Litter_3_7164_3	H1_Rhizo_Litter_3_7164_3	K02874	502	870	1
H1_Rhizo_Litter_3_7164_4	H1_Rhizo_Litter_3_7164_4	K02895	872	1201	1
H1_Rhizo_Litter_3_7164_5	H1_Rhizo_Litter_3_7164_5	K02931	1201	1770	1
H1_Rhizo_Litter_3_7374_3	H1_Rhizo_Litter_3_7374_3	K02886	492	1331	1
H1_Rhizo_Litter_3_7484_1	H1_Rhizo_Litter_3_7484_1	K05916	2	1192	-1
H1_Rhizo_Litter_3_7552_3	H1_Rhizo_Litter_3_7552_3	K02886	586	1440	-1
H1_Rhizo_Litter_3_7562_2	H1_Rhizo_Litter_3_7562_2	K02994	215	610	-1
H1_Rhizo_Litter_3_7562_4	H1_Rhizo_Litter_3_7562_4	K02931	909	1475	-1
H1_Rhizo_Litter_3_7562_5	H1_Rhizo_Litter_3_7562_5	K02895	1475	1795	-1
H1_Rhizo_Litter_3_7699_3	H1_Rhizo_Litter_3_7699_3	K02931	850	1404	-1
H1_Rhizo_Litter_3_8031_1	H1_Rhizo_Litter_3_8031_1	K02886	8	832	1
H1_Rhizo_Litter_3_8219_3	H1_Rhizo_Litter_3_8219_3	K02994	1048	1446	1
H1_Rhizo_Litter_3_8260_5	H1_Rhizo_Litter_3_8260_5	K02994	1466	1786	1
H1_Rhizo_Litter_3_831_4	H1_Rhizo_Litter_3_831_4	K02876	2575	3009	-1
H1_Rhizo_Litter_3_831_7	H1_Rhizo_Litter_3_831_7	K02881	3748	4047	-1
H1_Rhizo_Litter_3_831_8	H1_Rhizo_Litter_3_831_8	K02933	4059	4592	-1
H1_Rhizo_Litter_3_831_9	H1_Rhizo_Litter_3_831_9	K02994	4605	4997	-1
H1_Rhizo_Litter_3_8388_2	H1_Rhizo_Litter_3_8388_2	K02982	172	846	-1
H1_Rhizo_Litter_3_8388_3	H1_Rhizo_Litter_3_8388_3	K02890	850	1188	-1
H1_Rhizo_Litter_3_8388_4	H1_Rhizo_Litter_3_8388_4	K02965	1200	1472	-1
H1_Rhizo_Litter_3_8410_1	H1_Rhizo_Litter_3_8410_1	K02906	1	666	1
H1_Rhizo_Litter_3_8410_2	H1_Rhizo_Litter_3_8410_2	K02926	668	1297	1
H1_Rhizo_Litter_3_8538_3	H1_Rhizo_Litter_3_8538_3	K02881	988	1356	-1
H1_Rhizo_Litter_3_8790_2	H1_Rhizo_Litter_3_8790_2	K02881	511	879	-1
H1_Rhizo_Litter_3_8905_1	H1_Rhizo_Litter_3_8905_1	K00260	49	1695	-1
H1_Rhizo_Litter_3_8915_3	H1_Rhizo_Litter_3_8915_3	K02874	488	856	-1
H1_Rhizo_Litter_3_9046_1	H1_Rhizo_Litter_3_9046_1	K02994	1	276	1
H1_Rhizo_Litter_3_9046_2	H1_Rhizo_Litter_3_9046_2	K02933	276	881	1
H1_Rhizo_Litter_3_9046_3	H1_Rhizo_Litter_3_9046_3	K02881	949	1305	1
H1_Rhizo_Litter_3_9188_2	H1_Rhizo_Litter_3_9188_2	K02895	440	754	1
H1_Rhizo_Litter_3_9188_3	H1_Rhizo_Litter_3_9188_3	K02931	761	1300	1
H1_Rhizo_Litter_3_9358_2	H1_Rhizo_Litter_3_9358_2	K02876	513	944	-1
H1_Rhizo_Litter_3_9403_2	H1_Rhizo_Litter_3_9403_2	K02933	629	1219	1
H1_Rhizo_Litter_3_9403_3	H1_Rhizo_Litter_3_9403_3	K02881	1222	1581	1
H1_Rhizo_Litter_3_9408_2	H1_Rhizo_Litter_3_9408_2	K02881	318	623	-1
H1_Rhizo_Litter_3_9427_1	H1_Rhizo_Litter_3_9427_1	K02874	20	388	-1
H1_Rhizo_Litter_3_9427_2	H1_Rhizo_Litter_3_9427_2	K02961	391	654	-1
H1_Rhizo_Litter_3_9436_1	H1_Rhizo_Litter_3_9436_1	K02886	2	532	1
H1_Rhizo_Litter_3_9527_1	H1_Rhizo_Litter_3_9527_1	K02906	231	902	1
H1_Rhizo_Litter_3_9538_1	H1_Rhizo_Litter_3_9538_1	K02994	22	414	1
H1_Rhizo_Litter_3_9538_2	H1_Rhizo_Litter_3_9538_2	K02933	427	960	1
H1_Rhizo_Litter_3_9577_1	H1_Rhizo_Litter_3_9577_1	K02895	8	322	-1
H1_Rhizo_Litter_3_9577_2	H1_Rhizo_Litter_3_9577_2	K02874	322	690	-1
H1_Rhizo_Litter_3_9577_3	H1_Rhizo_Litter_3_9577_3	K02961	687	977	-1
H1_Rhizo_Litter_3_9591_1	H1_Rhizo_Litter_3_9591_1	K02886	2	751	-1
H1_Rhizo_Litter_3_9647_2	H1_Rhizo_Litter_3_9647_2	K02874	337	690	-1
H1_Rhizo_Litter_3_9733_3	H1_Rhizo_Litter_3_9733_3	K02961	419	655	1
H1_Rhizo_Litter_3_9733_4	H1_Rhizo_Litter_3_9733_4	K02874	699	1067	1
H1_Rhizo_Litter_3_9733_5	H1_Rhizo_Litter_3_9733_5	K02895	1067	1387	1
H1_Rhizo_Litter_3_9733_6	H1_Rhizo_Litter_3_9733_6	K02931	1402	1641	1
H1_Rhizo_Litter_3_9783_3	H1_Rhizo_Litter_3_9783_3	K02906	1004	1639	-1
H1_Rhizo_Litter_3_9897_3	H1_Rhizo_Litter_3_9897_3	K02926	1352	1633	1
H1_Rhizo_Litter_3_9899_1	H1_Rhizo_Litter_3_9899_1	K02982	3	314	-1
H1_Rhizo_Litter_3_9899_4	H1_Rhizo_Litter_3_9899_4	K02886	1026	1634	-1
H2_Bulk_34_10097_3	H2_Bulk_34_10097_3	K02886	491	1318	1
H2_Bulk_34_10416_4	H2_Bulk_34_10416_4	K02876	807	1277	1
H2_Bulk_34_10718_2	H2_Bulk_34_10718_2	K02926	207	932	1
H2_Bulk_34_10882_3	H2_Bulk_34_10882_3	K02906	976	1311	1
H2_Bulk_34_10999_2	H2_Bulk_34_10999_2	K02886	136	1020	-1
H2_Bulk_34_1123_1	H2_Bulk_34_1123_1	K02982	3	431	-1
H2_Bulk_34_11328_2	H2_Bulk_34_11328_2	K02881	668	1042	-1
H2_Bulk_34_11420_1	H2_Bulk_34_11420_1	K03553	155	1291	1
H2_Bulk_34_11704_1	H2_Bulk_34_11704_1	K10945	1	1215	1
H2_Bulk_34_11836_2	H2_Bulk_34_11836_2	K02874	201	569	-1
H2_Bulk_34_11836_3	H2_Bulk_34_11836_3	K02961	566	859	-1
H2_Bulk_34_11897_2	H2_Bulk_34_11897_2	K02895	107	421	-1
H2_Bulk_34_11897_3	H2_Bulk_34_11897_3	K02874	421	789	-1
H2_Bulk_34_11897_4	H2_Bulk_34_11897_4	K02961	873	1121	-1
H2_Bulk_34_12195_4	H2_Bulk_34_12195_4	K02876	1008	1265	1
H2_Bulk_34_12242_3	H2_Bulk_34_12242_3	K02933	479	1018	-1
H2_Bulk_34_12306_2	H2_Bulk_34_12306_2	K02926	90	713	-1
H2_Bulk_34_12408_2	H2_Bulk_34_12408_2	K02965	93	404	1
H2_Bulk_34_12408_4	H2_Bulk_34_12408_4	K02982	795	1256	1
H2_Bulk_34_12568_1	H2_Bulk_34_12568_1	K00368	1	1206	1
H2_Bulk_34_12576_1	H2_Bulk_34_12576_1	K01183	1	1251	-1
H2_Bulk_34_1286_2	H2_Bulk_34_1286_2	K10944	396	1283	1
H2_Bulk_34_12928_1	H2_Bulk_34_12928_1	K02906	35	688	-1
H2_Bulk_34_13026_3	H2_Bulk_34_13026_3	K02876	751	1218	1
H2_Bulk_34_1304_1	H2_Bulk_34_1304_1	nxrA_alignment	1	1143	1
H2_Bulk_34_1304_2	H2_Bulk_34_1304_2	nxrB_alignment	1220	2509	1
H2_Bulk_34_13107_4	H2_Bulk_34_13107_4	K02961	841	1095	1
H2_Bulk_34_13313_2	H2_Bulk_34_13313_2	K02876	817	1230	-1
H2_Bulk_34_13518_2	H2_Bulk_34_13518_2	K02994	226	624	-1
H2_Bulk_34_13518_4	H2_Bulk_34_13518_4	K02931	876	1223	-1
H2_Bulk_34_13636_3	H2_Bulk_34_13636_3	K02931	325	843	-1
H2_Bulk_34_13700_1	H2_Bulk_34_13700_1	K02926	1	360	1
H2_Bulk_34_13700_3	H2_Bulk_34_13700_3	K02886	674	1219	1
H2_Bulk_34_13709_2	H2_Bulk_34_13709_2	K02946	573	908	1
H2_Bulk_34_13768_1	H2_Bulk_34_13768_1	K00368	3	1217	-1
H2_Bulk_34_13881_1	H2_Bulk_34_13881_1	K02926	3	425	-1
H2_Bulk_34_13931_3	H2_Bulk_34_13931_3	K02961	712	969	1
H2_Bulk_34_13931_4	H2_Bulk_34_13931_4	K02874	972	1211	1
H2_Bulk_34_13947_1	H2_Bulk_34_13947_1	K02906	43	720	1
H2_Bulk_34_14001_3	H2_Bulk_34_14001_3	K02994	850	1209	1
H2_Bulk_34_14149_3	H2_Bulk_34_14149_3	K02931	641	1207	1
H2_Bulk_34_14162_1	H2_Bulk_34_14162_1	K02874	2	256	1
H2_Bulk_34_14162_2	H2_Bulk_34_14162_2	K02895	267	584	1
H2_Bulk_34_14498_1	H2_Bulk_34_14498_1	K02876	2	313	-1
H2_Bulk_34_14972_4	H2_Bulk_34_14972_4	K02982	728	1417	1
H2_Bulk_34_15595_1	H2_Bulk_34_15595_1	K02886	3	842	1
H2_Bulk_34_15674_1	H2_Bulk_34_15674_1	K02994	2	439	1
H2_Bulk_34_15674_2	H2_Bulk_34_15674_2	K02933	464	1003	1
H2_Bulk_34_15724_1	H2_Bulk_34_15724_1	K02874	159	527	1
H2_Bulk_34_15724_2	H2_Bulk_34_15724_2	K02895	538	852	1
H2_Bulk_34_15724_3	H2_Bulk_34_15724_3	K02931	859	1164	1
H2_Bulk_34_15771_1	H2_Bulk_34_15771_1	K03553	57	1163	-1
H2_Bulk_34_16452_2	H2_Bulk_34_16452_2	K02931	509	1051	1
H2_Bulk_34_16652_3	H2_Bulk_34_16652_3	K02906	600	1139	1
H2_Bulk_34_16884_1	H2_Bulk_34_16884_1	K02982	3	659	-1
H2_Bulk_34_16884_2	H2_Bulk_34_16884_2	K02890	668	1000	-1
H2_Bulk_34_17367_2	H2_Bulk_34_17367_2	K02961	235	510	-1
H2_Bulk_34_17441_3	H2_Bulk_34_17441_3	K02926	795	1121	-1
H2_Bulk_34_17584_3	H2_Bulk_34_17584_3	K02961	502	849	1
H2_Bulk_34_17584_4	H2_Bulk_34_17584_4	K02874	846	1118	1
H2_Bulk_34_17605_1	H2_Bulk_34_17605_1	K02874	2	373	1
H2_Bulk_34_17605_3	H2_Bulk_34_17605_3	K02931	792	1118	1
H2_Bulk_34_17946_2	H2_Bulk_34_17946_2	K02874	293	661	1
H2_Bulk_34_17946_3	H2_Bulk_34_17946_3	K02895	661	981	1
H2_Bulk_34_18180_3	H2_Bulk_34_18180_3	K02994	344	751	1
H2_Bulk_34_18283_2	H2_Bulk_34_18283_2	K02931	230	814	1
H2_Bulk_34_18598_4	H2_Bulk_34_18598_4	K02874	763	1098	1
H2_Bulk_34_18779_2	H2_Bulk_34_18779_2	K02906	330	977	-1
H2_Bulk_34_1880_2	H2_Bulk_34_1880_2	K02876	167	604	1
H2_Bulk_34_18805_2	H2_Bulk_34_18805_2	K02874	306	674	1
H2_Bulk_34_18805_3	H2_Bulk_34_18805_3	K02895	682	1053	1
H2_Bulk_34_18855_1	H2_Bulk_34_18855_1	K02982	1	648	1
H2_Bulk_34_19050_3	H2_Bulk_34_19050_3	K02982	811	1089	1
H2_Bulk_34_19820_1	H2_Bulk_34_19820_1	K03553	3	1013	-1
H2_Bulk_34_19985_1	H2_Bulk_34_19985_1	K02886	3	686	-1
H2_Bulk_34_20095_2	H2_Bulk_34_20095_2	K02906	348	1046	-1
H2_Bulk_34_20154_1	H2_Bulk_34_20154_1	K02946	35	343	-1
H2_Bulk_34_20472_1	H2_Bulk_34_20472_1	K02926	3	206	-1
H2_Bulk_34_20472_2	H2_Bulk_34_20472_2	K02906	203	853	-1
H2_Bulk_34_2064_2	H2_Bulk_34_2064_2	K02895	194	514	1
H2_Bulk_34_2064_3	H2_Bulk_34_2064_3	K02931	565	1275	1
H2_Bulk_34_20701_3	H2_Bulk_34_20701_3	K02876	576	1007	1
